#mm10.knownToEnsembl.name	mm10.knownToEnsembl.value	mm10.kgXref.geneSymbol	mm10.kgXref.refseq
uc008dzx.1	ENSMUST00000115869	Mpp7	NM_001161620
uc008dzy.1	ENSMUST00000115869	Mpp7	NM_001161620
uc008dzz.1	ENSMUST00000115869	Mpp7	
uc008dzs.2	ENSMUST00000115869	Mpp7	NM_001081287
uc008dzt.1	ENSMUST00000115869	Mpp7	NM_001161620
uc008dzv.1	ENSMUST00000115869	Mpp7	NM_001161620
uc008eaa.1	ENSMUST00000115869	Mpp7	
uc008eah.1	ENSMUST00000041007	Gjd4	NM_153086
uc008eai.1	ENSMUST00000053917	Ccny	NM_026484
uc012azd.1	ENSMUST00000053917	Ccny	NM_026484
uc008eaj.1	ENSMUST00000062769	Cetn1	NM_007593
uc008ean.1	ENSMUST00000092096	Usp14	NM_021522
uc008eao.1	ENSMUST00000092096	Usp14	NM_001038589
uc008eap.1	ENSMUST00000128334	Usp14	NM_021522
uc008eaq.1	ENSMUST00000067947	Rock1	NM_009071
uc008ear.1	ENSMUST00000067947	Rock1	NM_009071
uc008eav.1	ENSMUST00000025142	Esco1	NM_001081222
uc008eau.2	ENSMUST00000025142	Esco1	
uc008eay.1	ENSMUST00000025142	Esco1	NM_001081222
uc008eaw.1	ENSMUST00000025142	Esco1	NM_001081222
uc008eax.1	ENSMUST00000025142	Esco1	NM_001081222
uc008eba.1	ENSMUST00000117828	Abhd3	NM_134130
uc012azf.1	ENSMUST00000083465	Mir133a-1	NR_029547
uc008ebh.4	ENSMUST00000180789	1010001N08Rik	
uc033hfu.1	ENSMUST00000181316	1010001N08Rik	NR_105023
uc008ebi.2	ENSMUST00000181316	1010001N08Rik	NR_105022
uc008ebq.1	ENSMUST00000180860	Gm6277	NR_045421
uc012azj.1	ENSMUST00000122616	Mir1901	NR_035447
uc008ebu.3	ENSMUST00000055447	Tmem241	NR_110356
uc008ebw.2	ENSMUST00000055447	Tmem241	NM_178801
uc008ebv.3	ENSMUST00000055447	Tmem241	NM_001289666
uc012azk.2	ENSMUST00000055447	Tmem241	NM_001289667
uc008ebx.2	ENSMUST00000050228	Tmem241	NM_178801
uc008ecb.1	ENSMUST00000025279	Npc1	NM_008720
uc008ecc.1	ENSMUST00000133112	Npc1	
uc008ecd.2	ENSMUST00000118525	Ankrd29	NM_001190371
uc012azn.4	ENSMUST00000119043	Osbpl1a	
uc008ecq.2	ENSMUST00000119043	Osbpl1a	NM_001252493
uc008ecw.1	ENSMUST00000119512	Osbpl1a	NM_001252489
uc012azm.2	ENSMUST00000118313	Osbpl1a	NM_001252493
uc008ecp.2	ENSMUST00000121808	Osbpl1a	NM_001252493
uc008ecr.2	ENSMUST00000121808	Osbpl1a	NM_001252492
uc008ecs.2	ENSMUST00000118313	Osbpl1a	NM_001252491
uc008ect.2	ENSMUST00000117361	Osbpl1a	NM_001252490
uc008ecv.2	ENSMUST00000074352	Osbpl1a	NM_001252489
uc008ecx.1	ENSMUST00000154614	Osbpl1a	NM_001252489
uc008ecu.2	ENSMUST00000074352	Osbpl1a	NM_207530
uc008ecy.2	ENSMUST00000132594	Osbpl1a	NM_207530
uc008ecz.2	ENSMUST00000122175	Osbpl1a	NM_207530
uc012azq.1	ENSMUST00000025288	Zfp521	NM_001360804
uc008edc.1	ENSMUST00000025288	Zfp521	NM_145492
uc008edd.3	ENSMUST00000025288	Zfp521	NM_145492
uc008ede.1	ENSMUST00000040924	Ss18	NM_009280
uc008edf.1	ENSMUST00000092041	Ss18	NM_001161369
uc008edg.1	ENSMUST00000040924	Ss18	NM_001161370
uc008edh.1	ENSMUST00000092041	Ss18	NM_001161371
uc008edi.1	ENSMUST00000092041	Ss18	NM_001161369
uc008edn.2	ENSMUST00000168989	Kctd1	NM_001142731
uc008edp.2	ENSMUST00000168989	Kctd1	NM_001142731
uc008edo.1	ENSMUST00000025992	Kctd1	NM_134112
uc008edq.2	ENSMUST00000079081	Aqp4	NM_001308647
uc008edr.2	ENSMUST00000079081	Aqp4	NM_001308647
uc008eds.3	ENSMUST00000079081	Aqp4	NM_009700
uc012azt.1	ENSMUST00000079081	Aqp4	NM_001308647
uc012azu.1	ENSMUST00000079081	Aqp4	NM_001308646
uc012azv.1	ENSMUST00000079081	Aqp4	NM_001308645
uc012azw.1	ENSMUST00000079081	Aqp4	NM_001308644
uc008edt.2	ENSMUST00000079081	Aqp4	NM_001308643
uc012azx.1	ENSMUST00000079081	Aqp4	NM_001308642
uc012azy.1	ENSMUST00000079081	Aqp4	NM_001308641
uc008edv.1	ENSMUST00000130553	Chst9	NM_199055
uc008edw.1	ENSMUST00000130553	Chst9	
uc008edx.3	ENSMUST00000025166	Cdh2	NM_007664
uc008eea.2	ENSMUST00000115848	Dsc3	NM_001291809
uc008eeb.1	ENSMUST00000115848	Dsc3	NM_007882
uc008eef.1	ENSMUST00000155407	Dsc2	
uc008eee.2	ENSMUST00000039247	Dsc2	NM_001317363
uc008eed.2	ENSMUST00000039247	Dsc2	NM_013505
uc008eec.2	ENSMUST00000039247	Dsc2	NM_001317365
uc008eeg.3	ENSMUST00000038710	Dsc1	NM_013504
uc008eeh.3	ENSMUST00000038710	Dsc1	NM_001291804
uc008eei.2	ENSMUST00000038710	Dsc1	NM_013504
uc008eeu.2	ENSMUST00000070080	B4galt6	NM_019737
uc008eex.1	ENSMUST00000097658	Trappc8	NM_029491
uc012bad.1	ENSMUST00000025177	Trappc8	NM_177038
uc008eey.1	ENSMUST00000097658	Trappc8	NM_029491
uc008efg.1	ENSMUST00000049260	Garem1	NM_001033445
uc008efh.1	ENSMUST00000049260	Garem1	
uc008efi.1	ENSMUST00000049105	Klhl14	NM_001081403
uc012baf.1	ENSMUST00000025160	Ccdc178	NM_027616
uc012bag.1	ENSMUST00000025160	Ccdc178	NM_027616
uc008efk.1	ENSMUST00000025160	Ccdc178	NM_027616
uc008efl.1	ENSMUST00000115837	Ccdc178	NM_027616
uc008efn.2	ENSMUST00000092015	Nol4	NM_001361225
uc008efo.2	ENSMUST00000092015	Nol4	NM_001361223
uc008efp.2	ENSMUST00000092015	Nol4	NM_001361225
uc008efq.2	ENSMUST00000081423	Nol4	NM_001161483
uc008efr.2	ENSMUST00000097651	Nol4	NM_199024
uc057kzi.1	ENSMUST00000097651	Nol4	NM_001361223
uc057kzj.1	ENSMUST00000097651	Nol4	NM_001361225
uc056zfy.2	ENSMUST00000132571	Gm15972	NR_126066
uc033hfy.1	ENSMUST00000184278	Mir6360	NR_105778
uc008egi.1	ENSMUST00000115829	AK049082	
uc008egm.1	ENSMUST00000066497	Zfp24	NM_021559
uc008egn.1	ENSMUST00000066497	Zfp24	NM_021559
uc008ego.1	ENSMUST00000153360	Ino80c	NM_172625
uc008egp.1	ENSMUST00000141489	Ino80c	
uc008egs.2	ENSMUST00000083598	Mir187	NR_029573
uc008egu.1	ENSMUST00000046206	Rprd1a	NM_144861
uc008egv.1	ENSMUST00000070726	Slc39a6	NM_139143
uc012bam.2	ENSMUST00000115817	Tpgs2	NM_001142697
uc012bal.1	ENSMUST00000148255	Tpgs2	NM_001142698
uc008ehf.3	ENSMUST00000115817	Tpgs2	NM_001004361
uc012ban.1	ENSMUST00000025117	Celf4	NM_001146293
uc008ehl.2	ENSMUST00000025117	Celf4	NM_133195
uc012bao.1	ENSMUST00000115816	Celf4	NM_001146292
uc012bap.1	ENSMUST00000115816	Celf4	NM_001146294
uc008ehk.2	ENSMUST00000025117	Celf4	NM_001174074
uc012baq.1	ENSMUST00000025117	Celf4	NM_001146295
uc008ehx.1	ENSMUST00000153060	Rit2	NM_009065
uc012bas.1	ENSMUST00000082070	Rit2	
uc008ehy.1	ENSMUST00000025110	Syt4	NM_009308
uc008ehz.1	ENSMUST00000060396	Slc25a46	NM_001357461
uc008eia.1	ENSMUST00000060396	Slc25a46	NM_001357461
uc008eil.1	ENSMUST00000180550	AK041287	
uc008eiu.2	ENSMUST00000054984	Sft2d3	NM_026006
uc008eiw.2	ENSMUST00000064016	Gpr17	NM_001025381
uc008eix.2	ENSMUST00000134663	Myo7b	NM_032394
uc008eiz.1	ENSMUST00000171765	Proc	NM_001042768
uc008eja.1	ENSMUST00000171765	Proc	NM_008934
uc029tmd.1	ENSMUST00000171765	Proc	NM_001313938
uc008ejb.1	ENSMUST00000171765	Proc	NM_001042767
uc008ejg.1	ENSMUST00000181729	A830052D11Rik	NR_045403
uc008ejk.1	ENSMUST00000174459	Gypc	NM_001048207
uc057kzn.1	ENSMUST00000174459	Gypc	NM_001347610
uc029tme.1	ENSMUST00000181632	4930455D15Rik	NR_045381
uc033hga.1	ENSMUST00000185079	Mir6361	NR_105779
uc008ejr.1	ENSMUST00000025236	Stard4	NM_133774
uc057kzo.1	ENSMUST00000025236	Stard4	NM_001347624
uc008ejs.1	ENSMUST00000141617	Stard4	NM_001347624
uc033hgb.1	ENSMUST00000051087	Nrep	NM_001267717
uc008ejt.2	ENSMUST00000051087	Nrep	NM_053078
uc012bav.2	ENSMUST00000171533	Nrep	NM_001109989
uc008eju.2	ENSMUST00000168890	Nrep	NM_001109988
uc008ejw.1	ENSMUST00000025234	Epb41l4a	
uc012baw.1	ENSMUST00000025234	Epb41l4a	
uc008ejx.1	ENSMUST00000025234	Epb41l4a	
uc008ejy.1	ENSMUST00000025234	Epb41l4a	NM_013512
uc008eka.1	ENSMUST00000025234	Epb41l4a	NM_013512
uc008ekb.1	ENSMUST00000025234	Epb41l4a	
uc008ejz.1	ENSMUST00000025234	Epb41l4a	NM_013512
uc008ekc.1	ENSMUST00000097631	Gm10548	NR_040534
uc008eki.3	ENSMUST00000006027	Reep5	NM_007874
uc008ekn.1	ENSMUST00000040506	Fam13b	
uc008eko.1	ENSMUST00000040506	Fam13b	NM_146084
uc008ekr.1	ENSMUST00000155114	Nme5	
uc008eks.1	ENSMUST00000079287	Nme5	NM_080637
uc008ekt.1	ENSMUST00000079287	Nme5	
uc008eku.1	ENSMUST00000056932	4933408B17Rik	NM_177773
uc012baz.1	ENSMUST00000056932	4933408B17Rik	
uc008ekv.2	ENSMUST00000003876	Brd8	NM_030147
uc008ekw.2	ENSMUST00000115766	Brd8	NM_001289607
uc008ekx.2	ENSMUST00000003876	Brd8	NM_001289606
uc008eky.2	ENSMUST00000115765	Brd8	NM_001361136
uc008ekz.2	ENSMUST00000153569	Brd8	
uc008elb.1	ENSMUST00000025228	Cdc23	NM_178347
uc012bbc.1	ENSMUST00000025228	Cdc23	NM_178347
uc008elc.1	ENSMUST00000133181	Cdc23	NM_178347
uc008eld.1	ENSMUST00000135208	Cdc23	
uc008ele.3	ENSMUST00000025224	Gfra3	NM_010280
uc008elf.3	ENSMUST00000060710	Cdc25c	NM_009860
uc012bbd.3	ENSMUST00000060710	Cdc25c	
uc008elu.1	ENSMUST00000025218	Etf1	NM_144866
uc008elv.3	ENSMUST00000025217	Hspa9	NM_010481
uc008ema.3	ENSMUST00000091636	Lrrtm2	NM_178005
uc008emc.2	ENSMUST00000025215	Sil1	NM_030749
uc008emd.2	ENSMUST00000025215	Sil1	
uc008eml.2	ENSMUST00000025212	Slc23a1	NM_011397
uc008emm.2	ENSMUST00000025211	Mzb1	NM_027222
uc033hgc.1	ENSMUST00000190196	Prob1	NM_001270646
uc008emn.1	ENSMUST00000025209	Spata24	NM_029485
uc008emo.2	ENSMUST00000096573	Spata24	NM_027733
uc008emp.2	ENSMUST00000096573	Spata24	
uc008emq.3	ENSMUST00000025208	Dnajc18	NM_029669
uc008emr.1	ENSMUST00000097618	Ecscr	NM_001033141
uc012bbi.1	ENSMUST00000133064	Ecscr	NM_001033141
uc008emt.3	ENSMUST00000115728	Tmem173	NM_028261
uc008emu.3	ENSMUST00000115728	Tmem173	NM_001289592
uc008emv.3	ENSMUST00000115728	Tmem173	NM_001289591
uc008ene.2	ENSMUST00000115705	Nrg2	
uc008enf.2	ENSMUST00000115705	Nrg2	
uc012bbl.2	ENSMUST00000115713	Nrg2	NM_001167891
uc008enk.1	ENSMUST00000025204	Pfdn1	NM_026027
uc008enl.2	ENSMUST00000025363	Hbegf	NM_010415
uc008enm.2	ENSMUST00000025363	Hbegf	NM_010415
uc008eny.2	ENSMUST00000173875	Sra1	NM_025291
uc057kzp.1	ENSMUST00000173875	Sra1	NM_001164406
uc012bbp.1	ENSMUST00000173202	Sra1	NR_028355
uc012bbr.1	ENSMUST00000001415	Apbb3	
uc008eoa.1	ENSMUST00000001415	Apbb3	
uc033hgg.1	ENSMUST00000001415	Apbb3	NM_146085
uc008eoe.1	ENSMUST00000115682	E230025N22Rik	NM_172831
uc008eof.2	ENSMUST00000061829	Cd14	NM_009841
uc008eoj.2	ENSMUST00000014438	Ndufa2	NM_010885
uc008eon.1	ENSMUST00000155827	Dnd1	NM_173383
uc008eom.1	ENSMUST00000155827	Dnd1	
uc008eoo.1	ENSMUST00000124038	Dnd1	
uc008eop.2	ENSMUST00000001416	Hars	NM_008214
uc008eoq.2	ENSMUST00000001416	Hars	
uc008epl.1	ENSMUST00000180516	AK042845	
uc008eqh.2	ENSMUST00000058635	Slc25a2	NM_001159275
uc008eqi.2	ENSMUST00000066272	Taf7	NM_175770
uc008eqj.1	ENSMUST00000193029	AK150172	
uc033hgm.1	ENSMUST00000183927	Mir6979	NR_105945
uc057kzq.1	ENSMUST00000115631	Diaph1	NM_001305981
uc057kzr.1	ENSMUST00000115631	Diaph1	NM_001305981
uc033hgl.2	ENSMUST00000115634	Diaph1	NM_007858
uc008erl.1	ENSMUST00000043498	Hdac3	NM_010411
uc029tml.1	ENSMUST00000043498	Hdac3	
uc008ero.1	ENSMUST00000043437	Fchsd1	NM_175684
uc033hgn.1	ENSMUST00000184293	Mir6981	NR_105947
uc012bcc.1	ENSMUST00000042944	Arap3	
uc033hgo.1	ENSMUST00000185063	Mir6980	NR_105946
uc008ers.1	ENSMUST00000042944	Arap3	NM_139206
uc008erq.2	ENSMUST00000042944	Arap3	NM_139206
uc012bcd.1	ENSMUST00000042944	Arap3	
uc008err.3	ENSMUST00000042944	Arap3	NM_001205336
uc008ert.1	ENSMUST00000161701	Pcdh1 	
uc008eru.1	ENSMUST00000057185	Pcdh1	NM_029357
uc008erv.1	ENSMUST00000181871	1700086O06Rik	NR_015475
uc012bce.1	ENSMUST00000181871	1700086O06Rik	NR_027903
uc008erw.1	ENSMUST00000181757	1700086O06Rik	NR_027904
uc008esa.1	ENSMUST00000195747	Pcdh12	
uc008esb.1	ENSMUST00000025311	Pcdh12	NM_017378
uc008esc.1	ENSMUST00000194012	Pcdh12	
uc008esi.2	ENSMUST00000063814	Gnpda1	NM_011937
uc008esl.1	ENSMUST00000025295	Spry4	NM_011898
uc008esn.1	ENSMUST00000040647	Fgf1	NM_010197
uc008eso.1	ENSMUST00000040647	Fgf1	NM_010197
uc012bcf.1	ENSMUST00000131348	Fgf1	
uc008esw.1	ENSMUST00000135378	AK158482	
uc008esx.1	ENSMUST00000115567	Nr3c1	NM_008173
uc008esy.1	ENSMUST00000115567	Nr3c1	NM_008173
uc012bcg.1	ENSMUST00000025300	Nr3c1	NM_008173
uc008esz.1	ENSMUST00000152853	Nr3c1	NM_008173
uc008eta.1	ENSMUST00000025300	Nr3c1	NM_008173
uc008etb.1	ENSMUST00000115567	Nr3c1	NM_008173
uc008etd.1	ENSMUST00000025364	Yipf5	NM_023311
uc008eti.1	ENSMUST00000070949	Prelid2	NM_029942
uc012bci.1	ENSMUST00000070949	Prelid2	NM_029942
uc008etj.2	ENSMUST00000097591	Grxcr2	NM_001033426
uc008etm.2	ENSMUST00000081374	Plac8l1	NM_027072
uc008etn.2	ENSMUST00000081374	Plac8l1	NM_027072
uc008etp.1	ENSMUST00000097590	Lars	NM_134137
uc008eua.1	ENSMUST00000054738	Gpr151	NM_181543
uc008eub.2	ENSMUST00000117687	Ppp2r2b	NM_028392
uc008euc.2	ENSMUST00000025377	Ppp2r2b	NM_028392
uc008eug.3	ENSMUST00000121805	Dpysl3	NM_001136086
uc008euh.3	ENSMUST00000121805	Dpysl3	NM_009468
uc008eui.3	ENSMUST00000121805	Dpysl3	NM_001291455
uc033hgq.2	ENSMUST00000057110	Eif3j2	NM_001256055
uc008euj.2	ENSMUST00000082254	Jakmip2	
uc008euk.2	ENSMUST00000082254	Jakmip2	NM_001163637
uc008eul.2	ENSMUST00000025381	Spink1	NM_009258
uc008euo.1	ENSMUST00000096570	Gm94	NM_001033280
uc012bcl.1	ENSMUST00000096570	Gm94	NM_001033280
uc033hgr.1	ENSMUST00000181652	Gm10267	NM_001281470
uc008eut.1	ENSMUST00000066328	Spinkl	NM_183123
uc008euu.2	ENSMUST00000097587	Spink11	NM_001048217
uc008euy.1	ENSMUST00000164666	Mcc	NM_001085374
uc008euz.1	ENSMUST00000089874	Mcc	NM_001085373
uc008evh.1	ENSMUST00000184994	A330093E20Rik	
uc029tmq.1	ENSMUST00000184994	A330093E20Rik	NR_040342
uc012bcp.1	ENSMUST00000167364	Trim36	NM_001170855
uc008evi.2	ENSMUST00000037011	Trim36	NM_178872
uc008evk.1	ENSMUST00000025354	Pggt1b	NM_172627
uc008evl.1	ENSMUST00000025354	Pggt1b	
uc008evm.2	ENSMUST00000072835	Ccdc112	
uc012bcr.1	ENSMUST00000072835	Ccdc112	NM_001160399
uc012bcs.1	ENSMUST00000180618	Mospd4	NR_045438
uc008evo.1	ENSMUST00000036226	Fem1c	NM_173423
uc008evp.2	ENSMUST00000070084	Ticam2	NM_173394
uc008evr.2	ENSMUST00000143178	Tmed7	NM_025698
uc008evq.2	ENSMUST00000143178	Tmed7	NM_025698
uc008evt.1	ENSMUST00000035804	Cdo1	NM_033037
uc008evu.1	ENSMUST00000035648	Atg12	NM_026217
uc008ewa.2	ENSMUST00000019791	Sema6a	NM_018744
uc008ewb.2	ENSMUST00000019791	Sema6a	NM_001311097
uc008ewc.2	ENSMUST00000141224	Sema6a	NM_001311097
uc008ewd.2	ENSMUST00000151382	Sema6a	NM_001311097
uc008ewl.2	ENSMUST00000163590	Dtwd2	NM_026854
uc012bcw.1	ENSMUST00000163590	Dtwd2	NM_001170960
uc012bcx.1	ENSMUST00000163590	Dtwd2	
uc029tmr.1	ENSMUST00000186872	1700065O20Rik	NR_045386
uc008ews.1	ENSMUST00000151719	C030005K06Rik	
uc008ewt.1	ENSMUST00000129164	C030005K06Rik	
uc008ewu.1	ENSMUST00000129164	C030005K06Rik	
uc008ewy.2	ENSMUST00000056460	Pudp	NM_026108
uc033hgy.1	ENSMUST00000171470	Lox	NM_001286181
uc008exe.2	ENSMUST00000171470	Lox	NM_010728
uc008exf.2	ENSMUST00000171470	Lox	NM_001286182
uc008exu.1	ENSMUST00000025419	Ppic	NM_008908
uc008exy.1	ENSMUST00000049811	Cep120	NM_178686
uc008exz.1	ENSMUST00000049811	Cep120	NM_178686
uc008eye.1	ENSMUST00000064763	Zfp608	
uc008eyf.1	ENSMUST00000064763	Zfp608	
uc008eyc.2	ENSMUST00000064763	Zfp608	NM_175751
uc008eyd.2	ENSMUST00000064763	Zfp608	NM_001360787
uc008eyg.1	ENSMUST00000064763	Zfp608	
uc008eyn.2	ENSMUST00000174518	Aldh7a1	NM_138600
uc008eyo.2	ENSMUST00000174518	Aldh7a1	NM_001127338
uc008eyv.1	ENSMUST00000102912	March3	NM_177115
uc008eyw.1	ENSMUST00000153044	March3	NM_177115
uc057kzu.1	ENSMUST00000152087	KY467808	
uc008eyx.3	ENSMUST00000025488	C330018D20Rik	NM_029909
uc008eyy.3	ENSMUST00000025488	C330018D20Rik	NM_029909
uc008eze.1	ENSMUST00000151669	AK006909	
uc057kzv.1	ENSMUST00000150994	1700066O22Rik	NR_015541
uc008ezf.3	ENSMUST00000153122	AK016016	
uc008ezi.2	ENSMUST00000153884	4930511M06Rik	NR_027945
uc008ezc.2	ENSMUST00000130696	4930511M06Rik	
uc008ezj.2	ENSMUST00000137603	4930511M06Rik	NR_015494
uc008ezk.2	ENSMUST00000137603	4930511M06Rik	NR_027944
uc008ezo.1	ENSMUST00000025497	Fbn2	
uc008ezn.1	ENSMUST00000025497	Fbn2	NM_010181
uc012bdk.1	ENSMUST00000090260	Gm4841	NM_001034859
uc008fag.1	ENSMUST00000042710	Smim3	NM_134133
uc012bdl.1	ENSMUST00000056533	Myoz3	NM_133363
uc008fao.2	ENSMUST00000128528	Synpo	
uc008far.2	ENSMUST00000115318	Synpo	NM_001109975
uc008fap.2	ENSMUST00000097566	Synpo	NM_177340
uc008fas.2	ENSMUST00000155195	Synpo	NM_001109975
uc008faq.2	ENSMUST00000130360	Synpo	NM_001109975
uc057kzw.1	ENSMUST00000137894	AK033711	
uc008fat.2	ENSMUST00000169273	Ndst1	NM_008306
uc008fav.1	ENSMUST00000169273	Ndst1	NM_001348146
uc008fau.2	ENSMUST00000169273	Ndst1	NM_008306
uc008fbc.3	ENSMUST00000175934	Tcof1	NM_001198984
uc008fbb.3	ENSMUST00000176630	Tcof1	NM_011552
uc012bdn.1	ENSMUST00000176630	Tcof1	NM_011552
uc008fbi.1	ENSMUST00000025520	Slc6a7	NM_201353
uc008fbj.2	ENSMUST00000025521	Cdx1	NM_009880
uc008fbq.1	ENSMUST00000091884	Hmgxb3	NM_134134
uc008fbr.1	ENSMUST00000091884	Hmgxb3	NM_178277
uc012bdp.1	ENSMUST00000091884	Hmgxb3	
uc008fbs.1	ENSMUST00000091884	Hmgxb3	NM_134134
uc008fbt.1	ENSMUST00000091884	Hmgxb3	
uc008fbu.1	ENSMUST00000146409	Slc26a2	NM_007885
uc008fbw.1	ENSMUST00000170335	AK210533	
uc008fbx.1	ENSMUST00000075299	Ppargc1b	NM_133249
uc012bdq.1	ENSMUST00000075299	Ppargc1b	
uc008fca.2	ENSMUST00000171629	Arhgef37	NM_177828
uc008fci.2	ENSMUST00000083658	Mir145a	NR_029557
uc012bdr.1	ENSMUST00000083511	Mir143	NR_029601
uc029tne.1	ENSMUST00000182244	Carmn	NR_045402
uc008fcm.1	ENSMUST00000025472	Pcyox1l	NM_172832
uc008fco.1	ENSMUST00000062991	Grpel2	NM_021296
uc008fcq.1	ENSMUST00000120472	Afap1l1	NM_178928
uc008fcr.1	ENSMUST00000120472	Afap1l1	
uc012bds.2	ENSMUST00000049378	Ablim3	NM_198649
uc008fct.3	ENSMUST00000166783	Ablim3	NM_001164491
uc008fcy.2	ENSMUST00000053640	Adrb2	NM_007420
uc008fde.1	ENSMUST00000048688	Fbxo38	NM_001361091
uc012bdv.1	ENSMUST00000048688	Fbxo38	NM_134136
uc012bdx.1	ENSMUST00000076194	Spink7	NM_001001803
uc008fdg.2	ENSMUST00000076194	Spink7	
uc012bdy.1	ENSMUST00000097557	Spink13	NM_001168423
uc008fdk.1	ENSMUST00000067450	2700046A07Rik	NR_037693
uc008fdt.1	ENSMUST00000132576	Piezo2	
uc008fdq.2	ENSMUST00000047480	Piezo2	
uc008fdv.1	ENSMUST00000182233	Piezo2	NM_001039485
uc012bea.2	ENSMUST00000047480	Piezo2	NM_001039485
uc057kzy.1	ENSMUST00000047480	Piezo2	NM_001039485
uc029tni.1	ENSMUST00000047480	Piezo2	NM_001039485
uc008fdw.1	ENSMUST00000182177	Piezo2	
uc008fdx.1	ENSMUST00000025476	Txnl1	NM_016792
uc008fdy.1	ENSMUST00000025476	Txnl1	NM_016792
uc008fec.1	ENSMUST00000127716	St8sia3os	NR_045366
uc008feg.2	ENSMUST00000072796	S-adenosylmethionine decarboxylase 246	
uc008feh.1	ENSMUST00000025484	Fech	NM_007998
uc008fei.1	ENSMUST00000025484	Fech	NM_001348055
uc008fej.1	ENSMUST00000025484	Fech	
uc008fel.2	ENSMUST00000025483	Nars	NM_001142950
uc008fek.2	ENSMUST00000025483	Nars	NM_027350
uc008fem.1	ENSMUST00000025482	Atp8b1	NM_001001488
uc008feu.4	ENSMUST00000035548	Alpk2	NM_001037294
uc008ffl.1	ENSMUST00000025396	Rax	NM_013833
uc008ffm.1	ENSMUST00000025397	Cplx4	NM_145493
uc008ffn.2	ENSMUST00000048260	Lman1	NM_027400
uc008ffo.2	ENSMUST00000120461	Lman1	NM_001172062
uc012bef.1	ENSMUST00000102193	Mir694	NR_030467
uc008ffp.1	ENSMUST00000146610	Ccbe1	NM_178793
uc008ffr.1	ENSMUST00000061103	Ccbe1	NM_178793
uc008ffv.2	ENSMUST00000057942	Mc4r	NM_016977
uc008flx.1	ENSMUST00000073054	Mppe1	
uc008flv.1	ENSMUST00000073054	Mppe1	NM_172630
uc008flw.1	ENSMUST00000073054	Mppe1	NM_001357518
uc008flz.1	ENSMUST00000144078	B430212C06Rik	
uc008fma.1	ENSMUST00000144078	B430212C06Rik	
uc012beg.1	ENSMUST00000144078	B430212C06Rik	
uc008fmb.1	ENSMUST00000145081	B430212C06Rik	NR_033214
uc008fmg.1	ENSMUST00000025408	Afg3l2	NM_027130
uc012bei.3	ENSMUST00000025408	Afg3l2	
uc008fmf.1	ENSMUST00000025408	Afg3l2	NM_027130
uc008fmh.1	ENSMUST00000025408	Afg3l2	
uc008fml.1	ENSMUST00000115050	Spire1	NM_176832
uc008fmm.1	ENSMUST00000045105	Spire1	NM_194355
uc008fmn.1	ENSMUST00000082243	Spire1	NM_176832
uc012bej.1	ENSMUST00000082243	Spire1	NM_176832
uc008fmp.1	ENSMUST00000082243	Spire1	NM_194355
uc008fmq.1	ENSMUST00000097542	Cep76	NM_001357523
uc008fmr.1	ENSMUST00000097542	Cep76	NM_001357523
uc008fmu.2	ENSMUST00000025420	Ptpn2	NM_008977
uc008fmv.2	ENSMUST00000122412	Ptpn2	NM_001127177
uc008fmw.1	ENSMUST00000180450	AK078979	
uc033hhq.1	ENSMUST00000184508	Mir7219	NR_106078
uc008fni.2	ENSMUST00000042852	Fam210a	NM_153794
uc033hhr.1	ENSMUST00000052347	Mc2r	NM_001271717
uc033hht.2	ENSMUST00000052347	Mc2r	NM_001301372
uc008fnn.2	ENSMUST00000052347	Mc2r	NM_001271716
uc008fnm.2	ENSMUST00000052347	Mc2r	NM_008560
uc029tpa.1	ENSMUST00000025428	4930546C10Rik	NR_038051
uc033hhv.1	ENSMUST00000184434	Mir145b	NR_105780
uc008fny.1	ENSMUST00000147221	AK076657	
uc012bep.2	ENSMUST00000121693	Rab27b	NM_001302798
uc008fnz.2	ENSMUST00000121693	Rab27b	NM_030554
uc012beo.2	ENSMUST00000121693	Rab27b	NM_001302799
uc008foa.2	ENSMUST00000121693	Rab27b	NM_001082553
uc008fob.2	ENSMUST00000025390	Dynap	NM_029346
uc008foc.1	ENSMUST00000067556	4930503L19Rik	
uc029tpb.1	ENSMUST00000067556	4930503L19Rik	
uc029tpc.1	ENSMUST00000067556	4930503L19Rik	NM_172967
uc029tpd.1	ENSMUST00000067556	4930503L19Rik	
uc029tpe.1	ENSMUST00000067556	4930503L19Rik	
uc029tpf.1	ENSMUST00000067556	4930503L19Rik	
uc029tpg.1	ENSMUST00000067556	4930503L19Rik	NM_172967
uc029tph.1	ENSMUST00000067556	4930503L19Rik	
uc029tpi.1	ENSMUST00000067556	4930503L19Rik	NM_172967
uc029tpj.1	ENSMUST00000067556	4930503L19Rik	
uc029tpk.1	ENSMUST00000067556	4930503L19Rik	
uc029tpl.1	ENSMUST00000067556	4930503L19Rik	
uc029tpm.1	ENSMUST00000067556	4930503L19Rik	
uc029tpn.1	ENSMUST00000067556	4930503L19Rik	
uc029tpo.1	ENSMUST00000067556	4930503L19Rik	
uc029tpp.1	ENSMUST00000067556	4930503L19Rik	
uc029tpq.1	ENSMUST00000067556	4930503L19Rik	
uc029tpr.1	ENSMUST00000067556	4930503L19Rik	
uc029tps.1	ENSMUST00000067556	4930503L19Rik	
uc029tpt.1	ENSMUST00000067556	4930503L19Rik	
